Date,Asset,Signal,Expected_Return_Pct,Expected_Return,Confidence,Reasoning,Self_Consistency_Spread,Mean_Stated_Confidence
2025-01-02,EURUSD,NEUTRAL,1.95,0.0195,0.4908776755788468,"Analogues show modest 1-1.6% gains, tempering the model's higher 2.8% forecast.",0.0022730302828309753,0.5466666666666667
2025-01-02,GBPUSD,NEUTRAL,1.33,0.0133,0.4641612510530508,"Historical windows gave 0.6-1.5% rises, suggesting a slightly lower return than the model's 1.9%.",0.001256980508997653,0.49333333333333335
2025-01-02,GOLD,NEUTRAL,1.69,0.016900000000000002,0.3844846548416434,"All analog episodes saw gold up 2-3%, outweighing the model's slight negative outlook.",0.006182232606429493,0.5033333333333333
2025-01-02,OIL,BEARISH,-2.51,-0.025066666666666668,0.32715059587232787,"Analogues consistently showed oil declines of 2.8-6%, contradicting the model's positive forecast.",0.01077074226267108,0.5033333333333333
2025-01-31,EURUSD,NEUTRAL,0.04,0.0004,0.23333333333333336,"The model predicts a near‑flat move and weak analogs show slight depreciation after rate‑hold events, so we stay near zero with modest confidence.",0.0,0.23333333333333336
2025-01-31,GBPUSD,NEUTRAL,0.57,0.0057,0.17333333333333334,"Model suggests a small upside; analogs are mixed but generally neutral after holds, leading to low confidence in the modest gain.",0.0,0.17333333333333334
2025-01-31,GOLD,NEUTRAL,1.63,0.0163,0.24333333333333332,"Model forecasts modest gold strength and analogs show mixed outcomes, so a small positive return is reasonable with limited confidence.",0.0,0.24333333333333332
2025-01-31,OIL,BULLISH,11.19,0.1119,0.3,"Model predicts a strong oil rally; despite weak analog support, a rate‑hold often sustains oil momentum, giving moderate confidence in the upside.",0.0,0.3
2025-02-28,EURUSD,NEUTRAL,-0.75,-0.0075,0.5882318492853081,Both the low‑confidence model and tariff‑shock analogs point to a modest EURUSD decline.,0.0010801234497346435,0.62
2025-02-28,GBPUSD,NEUTRAL,-1.0,-0.01,0.55,"Analog episodes show GBPUSD weakening after tariffs, aligning with the model’s down forecast.",0.0,0.55
2025-02-28,GOLD,BULLISH,3.0,0.03,0.5,"Tariff uncertainty supports gold gains, but analogs suggest only a modest rise versus the model’s strong upside.",0.0,0.5
2025-02-28,OIL,BULLISH,4.67,0.04666666666666667,0.2786453311830133,"Tariff pressure typically dampens oil, and analogs show slight drops, tempering the model’s bullish signal.",0.009428090415820631,0.41
2025-03-31,EURUSD,BEARISH,-2.5,-0.025000000000000005,0.4199999999999999,"Model predicts a modest USD rise, but a high auto tariff pressures the dollar, supporting a slight EURUSD decline.",3.469446951953614e-18,0.42
2025-03-31,GBPUSD,BEARISH,-3.07,-0.030666666666666665,0.38835923668045463,"Both model and policy shock suggest GBP weakening against USD, reinforcing a modest GBPUSD drop.",0.0009428090415820641,0.4066666666666667
2025-03-31,GOLD,BULLISH,5.93,0.05933333333333333,0.40745887127129676,Tariff‑induced risk aversion and model upside both point to a stronger gold price.,0.0009428090415820609,0.4266666666666667
2025-03-31,OIL,NEUTRAL,1.33,0.01333333333333333,0.2000176679824017,"Higher tariffs likely curb demand, outweighing the model's slight bullish signal for oil.",0.01699673171197595,0.36999999999999994
2025-04-30,EURUSD,BULLISH,2.7,0.027,0.42650799697736774,"Severe US‑China tariffs tend to weaken the dollar, supporting the model's modest upside forecast.",0.0014142135623730948,0.4566666666666666
2025-04-30,GBPUSD,NEUTRAL,-1.97,-0.019666666666666666,0.23099872586995834,"Tariff escalation pressures the USD more than the pound, likely offsetting the model's bearish signal.",0.01751824445796122,0.43333333333333335
2025-04-30,GOLD,BULLISH,5.67,0.05666666666666667,0.48006282319149957,"Higher tariffs boost safe‑haven demand, aligning with the model's strong positive outlook for gold.",0.0012472191289246482,0.51
2025-04-30,OIL,NEUTRAL,-2.0,-0.02,0.45,"Escalating trade tensions dampen global demand, contradicting the model's large upside and suggesting a modest decline.",0.0,0.45
2025-05-30,EURUSD,NEUTRAL,1.03,0.010333333333333333,0.3567588911594889,"Model predicts a small dip and the tariff‑removal shock should strengthen the dollar, outweighing analogs that showed modest gains.",0.01438363267359428,0.6133333333333333
2025-05-30,GBPUSD,NEUTRAL,0.8,0.008,0.33086490538966346,"Despite analogs showing GBP rise, the high‑severity tariff ruling favors the dollar, supporting a modest GBPUSD decline.",0.016268579122549906,0.6
2025-05-30,GOLD,BULLISH,4.23,0.042333333333333334,0.5924634955316159,Gold benefits from lower dollar pressure and historic analogs both showed gold gains after similar policy shocks.,0.0020548046676563242,0.6533333333333333
2025-05-30,OIL,BEARISH,-5.27,-0.05266666666666667,0.3388840492779941,"Tariff removal reduces geopolitical risk premium on oil and analogs consistently showed oil declines, reinforcing a strong negative outlook.",0.01934482417139588,0.6666666666666666
2025-06-30,EURUSD,NEUTRAL,-1.73,-0.017333333333333333,0.41774264644515685,"Model predicts a small decline and most analogs (except two recent outliers) show modest EURUSD drops after policy holds, supporting a modest down view.",0.0032998316455372214,0.48666666666666664
